Date,Log_Return,gk_volatility,Range,State
2010-01-05,0.0086963957751834,0.006170229538451787,0.008706151341008751,0
2010-01-06,0.0007386389062683265,0.006782706825110746,0.009617989103575201,0
2010-01-07,-0.0035466864183382987,0.007429943628630101,0.01098208348977426,0
2010-01-08,-0.003492649046092997,0.005165874834305668,0.008017504111254112,0
2010-01-11,0.0008861894848711219,0.007805599086675046,0.011315653547080484,0
2010-01-12,-0.0074571562473284584,0.012503983917997542,0.019105981604736394,1
2010-01-13,0.004509678948100578,0.009116006116187143,0.013307423270358696,0
2010-01-14,0.004945708140283072,0.004522586125095781,0.007671267211429341,2
2010-01-15,-0.0014649229624307774,0.004943479036757488,0.007120806700614493,0
2010-01-18,0.004303187818976659,0.008167035181199133,0.012047698704411865,0
2010-01-19,-0.00937108811281388,0.007321334871824271,0.013232785134100863,2
2010-01-20,-0.0007561165620956245,0.007459796314444138,0.010590476454085368,0
2010-01-21,-0.024730253416518803,0.010579480988824956,0.02648133740267132,1
2010-01-22,-0.011480687178891941,0.018260516722228063,0.027660803154785543,1
2010-01-25,-0.005595470135225262,0.006659833276986608,0.010513467052398364,1
2010-01-27,-0.03139894990280727,0.01587502425771937,0.036152189689479454,3
2010-01-28,0.002911399732814308,0.015206025716886463,0.021562423756998305,1
2010-01-29,0.003036077739411096,0.01858658378624151,0.026157085736792086,1
2010-02-01,0.0036088449983292152,0.013109003045269234,0.018705206173926858,1
2010-02-02,-0.01430682701245135,0.017189436441611975,0.028374112734020115,1
2010-02-03,0.020846999413257735,0.011270043301018958,0.023956507193902358,1
2010-02-04,-0.017694688705123994,0.00927369076474171,0.020421580492008838,1
2010-02-05,-0.026496781268445523,0.015064606254066776,0.02853568396266684,1
2010-02-08,0.008808956769992533,0.0184459873640892,0.02597468802628784,1
2010-02-09,0.006751796164294356,0.009657339706266017,0.014824743333068102,1
2010-02-10,-0.007424173049006029,0.010657428321691769,0.016553854529308267,1
2010-02-11,0.014534800298261869,0.009002462149637317,0.017930907928863496,1
2010-02-15,-0.005171975135166793,0.008419727644048608,0.012848986933002684,1
2010-02-16,0.011141443639869172,0.010946593284014082,0.018256685855686558,1
2010-02-17,0.011924704368882228,0.0076793639276141485,0.01467238454543142,2
2010-02-18,-0.005356199200524958,0.006057765039848102,0.009891997212418803,2
2010-02-19,-0.008805489760123469,0.010627540035070953,0.0168734136200529,1
2010-02-22,0.002370817440569972,0.009544600262711091,0.013621181054679075,0
2010-02-23,0.0028067612985113975,0.0072132082816128585,0.010461945432972705,0
2010-02-24,-0.002353813207905825,0.00653343145974577,0.009447145560691803,0
2010-02-25,0.00023664559057058937,0.006483954988681209,0.009167098037450486,0
2010-02-26,0.012788865005232845,0.017375896045741333,0.02713158685708674,1
2010-03-02,0.01905628423679781,0.008660011632503916,0.018756248287073948,1
2010-03-03,0.014072353623684244,0.006358201916020189,0.015359348449089764,1
2010-03-04,-0.0015440261478846663,0.006364820086953215,0.009438550329708183,0
2010-03-05,0.0016619605947973564,0.00695383430883666,0.0099436193358101,0
2010-03-08,0.006912950461775033,0.006525629148312536,0.010724081833040593,2
2010-03-09,-0.004400769901265003,0.004601268945734103,0.007340920715720866,2
