State_0,State_1,State_2,State_3,Date
1.0,5.81134409475051e-197,6.019415543701963e-95,0.0,2010-01-05
0.9609990640305015,0.0011758754326650247,0.03782503948596124,2.1051047369634845e-08,2010-01-06
0.9147060960208787,0.0025120718042766555,0.08278179027630975,4.1898950261133045e-08,2010-01-07
0.6150271552412278,0.0020583992614054826,0.3829142051591101,2.403383297566972e-07,2010-01-08
0.97244655269867,0.010416859497663548,0.017130552693356907,6.03511067300206e-06,2010-01-11
0.00014663023096742755,0.9969358554069935,0.0029014099457673214,1.61044167085011e-05,2010-01-12
0.9736975577621533,0.022254053955832048,0.004047667164305976,7.211175870444261e-07,2010-01-13
0.011571925203054821,0.005328642496560164,0.9830993959296223,3.637058158351789e-08,2010-01-14
0.9198692136529192,0.00043478578251544283,0.07969599356275041,7.001808201554765e-09,2010-01-15
0.9704409631845039,0.0028903676989331393,0.026667874066576856,7.950496497782237e-07,2010-01-18
5.793599292678199e-20,0.0490864851405896,0.9509102305096165,3.2843497249267993e-06,2010-01-19
0.9584172483904665,0.014529034513418112,0.027043661059945517,1.005603629062995e-05,2010-01-20
0.0,0.9419393379694846,2.6170838785778708e-15,0.05806066203067663,2010-01-21
2.0767306812345904e-13,0.9888954694900164,4.066340462332365e-13,0.011104530509502995,2010-01-22
0.06039862988900891,0.6463986618494455,0.2857936187951894,0.00740908946646809,2010-01-25
0.0,0.3044685701100802,4.2303482805014613e-26,0.6955314298895064,2010-01-27
0.0004938901173393001,0.9808485373384919,1.099924855794586e-10,0.018657572433821504,2010-01-28
1.696887506753806e-06,0.986094210523529,1.4199448879884804e-16,0.013904092588604337,2010-01-29
0.04122698764515476,0.957918100447495,4.731307356798517e-07,0.0008544387767789353,2010-02-01
1.7407253571507286e-47,0.9936367359465422,1.799656062056526e-11,0.006363264035160871,2010-02-02
4.769335729817911e-173,0.9894979329595541,3.3476457138110164e-07,0.010501732276115876,2010-02-03
2.2175640229310877e-144,0.997383762642576,9.84221250342226e-07,0.0026152531359268346,2010-02-04
1.003546224311922e-148,0.9883630799087485,5.599480186367327e-12,0.011636920086089684,2010-02-05
3.6827879420687624e-07,0.9857626172697945,8.510568280180536e-17,0.014237014451081439,2010-02-08
0.0075600853901562695,0.9848947356298865,0.007053047473748943,0.0004921315065135865,2010-02-09
1.317365197872005e-05,0.9963456925562262,0.003192552957301093,0.00044858083470623666,2010-02-10
1.3564772019606842e-69,0.9883181588015071,0.010860604278208504,0.0008212369204997865,2010-02-11
0.1239757840143001,0.7927207036278754,0.08288941915272888,0.0004140932050205547,2010-02-15
2.9787969433483626e-18,0.975295228229839,0.024430486233023678,0.00027428553752110524,2010-02-16
2.2415917142636472e-35,0.5210824435941472,0.4787706948039714,0.00014686160219821176,2010-02-17
0.002590947054442418,0.22087895943348482,0.7763330842992948,0.00019700921307121662,2010-02-18
2.0606059969312813e-07,0.8122317360366604,0.18775608137776756,1.1976525181306233e-05,2010-02-19
0.95433159046522,0.04361766050122608,0.0020505957169445247,1.5331694354749102e-07,2010-02-22
0.9744045351141511,0.0014473934894485394,0.024148062616935306,8.77969864544978e-09,2010-02-23
0.9409893631528307,0.001087093619078126,0.05792348525812337,5.7969527734988534e-08,2010-02-24
0.949687652360135,0.007227361737903747,0.04307593083717105,9.055064465662601e-06,2010-02-25
5.001994791755456e-20,0.9901831171985946,1.252491069820472e-11,0.009816882789089265,2010-02-26
2.127558514207875e-112,0.9966210428850716,0.000479652739292016,0.0028993043752402114,2010-03-02
1.0402609018460924e-104,0.9794631293018026,0.020519700862126167,1.7169836392845097e-05,2010-03-03
0.959062327556917,0.00649500932123205,0.03444264132018037,2.1801706718835475e-08,2010-03-04
0.9688158232694817,0.0005592258340824931,0.030624881384417164,6.951212922993645e-08,2010-03-05
0.00043122750567971453,0.009221483611643015,0.9903470214254623,2.6745686471327034e-07,2010-03-08
0.32053733449158767,0.0024974711781995916,0.6769651833580983,1.097218290081412e-08,2010-03-09
0.9487414600879559,0.0005883125071450904,0.05067022444481011,2.960300184594913e-09,2010-03-10
0.9527772760195871,0.001024557485305695,0.046198163293522394,3.2014200455563898e-09,2010-03-11
