State_0,State_1,State_2,State_3,Date
5.2594773165433893e-82,1.77844878827992e-201,0.0,1.0,2010-01-05
0.8436059808083214,0.00017399940671571892,2.1064466318880924e-08,0.15621999872049472,2010-01-06
6.282703175838713e-56,0.011720276187548931,4.765429622097315e-07,0.988279247269305,2010-01-07
3.910733625043313e-83,0.004770220680351192,5.236802810926703e-07,0.9952292556390661,2010-01-08
0.0005760769109287352,0.009376162591526412,3.957543503285105e-06,0.9900438029544677,2010-01-11
0.018787568098097382,0.1433456958095391,9.945007978146104e-05,0.8377672860122654,2010-01-12
2.5655657772969273e-23,0.6310668932114457,0.00012772189284902203,0.3688053848959799,2010-01-13
2.9864455990080023e-22,0.2076666866651074,0.0008732280103262853,0.7914600853246448,2010-01-14
5.602987690579312e-201,0.99765312576363,0.0009856178247554922,0.0013612564116977635,2010-01-15
0.0,0.978862513094269,0.021137463428945236,2.3476671668733964e-08,2010-01-19
5.8223228147952294e-05,0.9733405785591197,0.025575075173617793,0.0010261230395260663,2010-01-20
0.0,0.3790837996915927,0.6209162003084363,4.0592667754069594e-26,2010-01-21
0.0,0.5630117884427117,0.43698821155745454,3.610900140902398e-21,2010-01-22
3.3247549894137143e-12,0.731541772434534,0.0093386983116985,0.2591195292501997,2010-01-25
0.2277612109765659,0.7629657200630874,0.0019550320373071597,0.0073180369226095296,2010-01-26
1.625320373301563e-18,0.9967192442053183,0.0027882715687897303,0.0004924842260752779,2010-01-27
0.0,0.9751303774185958,0.024869622571300647,9.690157264967351e-12,2010-01-28
0.0,0.9453729312970686,0.05462706870268144,1.9386379626927813e-13,2010-01-29
2.6397025423731077e-104,0.994601438896968,0.005050209071380919,0.00034835203143888363,2010-02-01
6.641721499524909e-209,0.9960744572485546,0.0022050766110794148,0.00172046614057065,2010-02-02
0.5262810169085248,0.4459003935073503,0.017132673310377537,0.010685916273707609,2010-02-03
0.0,0.000596781777554135,0.9994032182227197,5.585562451795217e-61,2010-02-04
4.572783632491262e-11,0.6874059715354978,0.3125940284191912,1.840079416788877e-14,2010-02-05
2.6838507954626658e-99,0.9905470330189038,0.008511699897175078,0.0009412670836994879,2010-02-08
4.462754265090349e-08,0.9897787043360156,0.010221184445795646,6.659103781420636e-08,2010-02-09
0.03361810940113942,0.9628596018488803,0.0028833795404368764,0.0006389092097408608,2010-02-10
6.310482647653777e-243,0.9937476632653263,0.0062477313905686,4.60534379241562e-06,2010-02-11
2.0123912751989714e-186,0.9968883810172968,0.0018542735742264227,0.0012573454088099939,2010-02-12
1.731644151587303e-49,0.9991074253298436,0.0008907841630580599,1.7905075446352744e-06,2010-02-16
0.9228146811950235,0.006801009554073974,1.4081466613518694e-05,0.07037022778429557,2010-02-17
8.881936946129461e-164,0.04650059904495367,1.29804669715281e-05,0.953486420488404,2010-02-18
3.234797904705152e-14,0.042035200143505015,1.2088529152602673e-05,0.9579527113270752,2010-02-19
6.9647064058701854e-12,0.03786390890430667,6.864789567870554e-05,0.9620674431928407,2010-02-22
9.289251222317857e-177,0.9974928799317919,0.0003821334297489218,0.0021249866381087236,2010-02-23
1.3825076842942764e-59,0.8843208516773063,0.001672586805646915,0.1140065615166551,2010-02-24
0.0,0.9996670967857115,0.0003060145814304246,2.68886324438809e-05,2010-02-25
0.9477362059049478,0.013397639948216432,8.978116181418924e-06,0.03885717603028796,2010-02-26
7.13322382650868e-148,0.02677735426060491,3.255399660230365e-06,0.9732193903394046,2010-03-01
0.9107742819452614,0.00039557979986452765,4.539539106020249e-08,0.08883009285916701,2010-03-02
0.9139260214345906,0.0011029746041160248,7.664067551678065e-08,0.08497092732069286,2010-03-03
0.9081057725160541,0.0014011094559083148,1.3424557324753238e-06,0.09049177557229433,2010-03-04
4.509095822796585e-149,0.21853422202069075,1.3505701184404713e-05,0.7814522722783328,2010-03-05
0.950743676277221,0.00023038861951474974,2.8293287744626684e-07,0.04902565217019879,2010-03-08
2.3268475329954915e-18,0.009922155711550475,2.689117868408842e-07,0.9900775753764444,2010-03-09
1.6932008662957402e-17,0.002641989003336043,2.612202640917289e-07,0.9973577497766326,2010-03-10
1.0899009040870319e-83,0.007663131737954235,9.139331434345831e-08,0.9923367768686623,2010-03-11
6.553407435993807e-26,0.0023996194634500756,1.4290079707560039e-07,0.9976002376357589,2010-03-12
0.9317715799693176,0.0004066743231948898,2.1400486516582233e-08,0.06782172430703301,2010-03-15
2.4109992692878463e-38,0.011161333881760844,2.0596147213039333e-06,0.9888366065031179,2010-03-16
0.018465916782291713,0.019523178474683232,9.399262864122253e-07,0.9620099648169618,2010-03-17
0.9617095065637612,0.001516912399480867,2.6624678353259724e-06,0.036770918569057294,2010-03-18
0.03429880896431232,0.9634271814217763,0.0010482390302028646,0.0012257705840211753,2010-03-19
0.0,0.996573915054617,0.0023909224136794112,0.0010351625318776325,2010-03-22
1.2596293312730735e-42,0.7711922878040444,0.0015554964658413882,0.22725221572976487,2010-03-23
0.006352743550871561,0.9903600332352515,0.0030016231081396285,0.00028560010587539065,2010-03-24
8.998160125735452e-121,0.9539669387567882,0.00037743803416121993,0.04565562320864547,2010-03-25
0.7015526814283983,0.17885206994079153,3.083979194213259e-05,0.11956440883877766,2010-03-26
0.8262265842326565,0.00539928102403963,1.0847185979089108e-06,0.168373050025124,2010-03-29
0.9272276073566919,0.0007661148841075452,6.510528102120649e-08,0.07200621265347006,2010-03-30
0.8831462416609768,0.0012989440627403407,3.4261732652671973e-07,0.11555447165896023,2010-03-31
0.7547206553337271,0.02073381734185987,1.4151886872403024e-06,0.22454411213540976,2010-04-01
3.196455965761414e-23,0.008684430857613017,3.2083849093766373e-06,0.9913123607576323,2010-04-05
6.756949365317869e-50,0.021526895198559406,1.1152445416596048e-05,0.9784619523563628,2010-04-06
0.0015386885465570675,0.4123058093273941,5.036746795265545e-05,0.5861051346583808,2010-04-07
4.9728060219002074e-73,0.15861566857243004,1.1601227447745733e-05,0.8413727302002484,2010-04-08
