State,Regime_Name,Frequency,Mean_Return,Return_Std,Mean_GK_Volatility,Sharpe_Ratio,Sortino_Ratio,Expected_Duration,Persistence
0,State 0,690,0.0101838994400841,0.004896793049609281,0.006034727501907622,1.687549178793047,,1.3064239554694317,0.2345516967800284
1,State 1,1906,0.0011522327979678,0.004646828841941338,0.005710318067790759,0.2017808437794397,0.3789668921796143,1.8550643582172377,0.4609351446108186
2,State 2,854,-0.0076205993704434,0.004834986113413521,0.0066841972544857565,-1.1400919333027206,-1.6213612362259555,1.4360705342760656,0.3036553733733504
3,State 3,2,0.0151550375350075,0.031400404575566476,0.11540153502331295,0.1313244016376904,,1.0,0.0
4,State 4,476,-0.0023889236553741,0.021666071146375598,0.014052355715031287,-0.1700016498172464,-0.1636603214875485,3.100365414046664,0.6774573747115897
