State_0,State_1,State_2,State_3,State_4,State_5,Date,Forecast_State_0,Forecast_State_1,Forecast_State_2,Forecast_State_3,Forecast_State_4,Forecast_State_5,Target_Position,Trade_Size
0.0,1.0,1.253288055111458e-182,1.0536963457514444e-84,1.6540230966389939e-81,0.0,2010-02-02,4.637983389733821e-05,0.9227907788895786,0.0498539293722967,0.0063323033395084,0.0209766085647187,1.852386023456888e-21,0.27664764780715906,0.27664764780715906
1.0611870196314707e-26,0.7921127951134571,6.957535944555546e-10,0.0014901105732522,0.2063970936171822,4.4685968038022856e-57,2010-02-03,0.0004365698384306,0.7387874791300223,0.0395562314370181,0.006704670153746,0.2145150494404187,9.034794829051895e-15,0.4194266047798707,0.14277895697271165
5.5765039487532e-28,0.5338382010525371,1.1586615070790784e-11,0.0003841877208775,0.4657776112146136,1.3198207014059273e-44,2010-02-04,0.0008328979857417,0.5100962779620718,0.0266310246073837,0.0048761738535426,0.4575636255908746,1.504603954248639e-16,0.5992361053708263,0.17980950059095557
2.656135488787968e-41,0.0154671967939888,8.278131879960618e-20,0.0026782375270496,0.9818545656786424,3.1408605061168543e-62,2010-02-05,0.0017633324605452,0.0512372769629963,0.0008902561161164,0.0047033046647327,0.9414058297952898,2.972722362494032e-23,0.9564236095546422,0.35718750418381595
5.407932838117656e-42,0.0001568409854586,3.276641183239752e-21,0.0001215313640917,0.9997216276507298,6.390727114054496e-71,2010-02-08,0.0017123285436812,0.0376052472669161,1.3226105738278803e-05,0.0026648765642701,0.958004321519674,3.3413567997906946e-25,0.9691245749329533,0.012700965378311113
1.1307645759110838e-41,1.5982521298745263e-05,1.6328347088284321e-21,2.742836462607276e-06,0.999981274642567,1.220800577655831e-65,2010-02-09,0.0017090103496216,0.0374769478849657,9.188210933259092e-07,0.0025723142996298,0.9582408086450176,5.186585411195512e-26,0.9693195153764272,0.00019494044347390105
2.5288224738903266e-42,1.3389434896483844e-05,8.976696648657513e-24,2.1218074547865725e-06,0.9999844887572834,6.125473412677981e-66,2010-02-10,0.0017089960888917,0.0374746333662426,7.619157827685411e-07,0.0025718233969581,0.9582437852317592,2.597565375350236e-26,0.969321820620103,2.305243675726487e-06
2.9073744606988146e-48,6.182507587581836e-07,5.4854824937370836e-27,3.029585186030067e-06,0.9999963521643762,4.0919748463934235e-76,2010-02-11,0.0017090444691216,0.0374633541394136,1.6560937046823105e-07,0.0025724786573589,0.9582549571250562,2.2020065304541544e-27,0.9693299229337163,8.102313613367329e-06
4.493865015039812e-46,2.7314424752327314e-06,1.2302197559828496e-26,1.865319786303284e-06,0.999995403237896,1.6689886798995804e-72,2010-02-15,0.0017090061383177,0.0374651897875487,2.191617691320876e-07,0.0025715845839303,0.9582540003285914,6.116540847492666e-27,0.9693294134946808,-5.094390355120382e-07
2.974596166974082e-51,1.724450579168428e-07,1.3005616607897212e-29,2.4078327250745483e-06,0.9999974197222948,3.766079386446084e-80,2010-02-16,0.0017090266167421,0.0374629406466882,1.1572225369805618e-07,0.0025719952726314,0.958255921741762,1.3761323456092609e-27,0.969330741381303,1.3278866222155017e-06
9.287880398109251e-55,3.494188414926259e-08,9.90075076643556e-32,1.9828310976612697e-06,0.9999979822271036,4.322167561821623e-83,2010-02-17,0.0017090141356388,0.0374628060546928,8.99587321035055e-08,0.0025716654820225,0.9582564243689988,1.1214238151397622e-27,0.9693311849976769,4.4361637385748054e-07
1.4622824428053567e-54,6.60115758060908e-08,1.385677021305333e-31,2.2503740353361285e-06,0.9999976836142648,1.7061383311225426e-80,2010-02-18,0.0017090220848789,0.0374628416549037,1.0341074272940359e-07,0.0025718728798719,0.9582561599694784,1.1789765626874864e-27,0.9693309441734547,-2.4082422223070665e-07
1.225064520197943e-55,4.408011193431109e-08,1.6155944325099136e-32,2.002880907293368e-06,0.9999979530387496,6.577337830105784e-83,2010-02-19,0.0017090147200367,0.0374628147515303,9.130633062556124e-08,0.0025716810501464,0.9582563981717246,1.138351308648736e-27,0.9693311622328091,2.1805935446206348e-07
7.132599283361236e-45,4.07438327129132e-06,8.577608162541351e-26,1.6275336981851565e-06,0.9999942980829234,2.6389965265494105e-73,2010-02-22,0.0017089967945626,0.0374663715375289,2.7553347135374174e-07,0.0025714054096959,0.958252950724634,8.605138544728558e-27,0.9693286781703145,-2.484062494589878e-06
4.122703602910871e-43,1.0359587664570696e-05,1.9505479035979061e-22,1.9218576664346483e-06,0.9999877185545506,4.808998724387504e-69,2010-02-23,0.0017089951467238,0.0374719449088567,6.019701676488587e-07,0.0025716570855005,0.9582468008886328,2.277955033611363e-26,0.9693240832476546,-4.594922659917344e-06
8.455014889547207e-43,0.0002795330126858,3.7194659146880976e-20,3.566145808194204e-06,0.9997169008416408,6.775904437637007e-67,2010-02-24,0.001708596798288,0.0377103014368449,1.4094477953216666e-05,0.0025739436877726,0.9579930635992756,1.0018552404013814e-24,0.9691362829957515,-0.00018780025190312521
3.863356070809587e-23,0.027279771747091,2.5288769931779987e-11,6.572008866338755e-06,0.9727136562186018,1.2124452983532328e-48,2010-02-25,0.0016637967663059,0.0616144614458163,0.0013602962276518,0.002677852105113,0.9326835934549604,3.28390465518556e-16,0.9504311536965465,-0.01870512929920498
5.576937358881123e-30,0.0234063692290853,2.894127821848347e-13,7.748771227198312e-05,0.9765161430586315,1.6131601988222904e-54,2010-02-26,0.0016723573283533,0.0581873747407317,0.0011703469299055,0.0027182221797467,0.9362516988215408,3.758248424547355e-18,0.9530560733000297,0.002624919603483211
1.1035656125314478e-33,0.0246292797373196,1.0474909173083661e-13,2.4134363062717456e-05,0.9753465858999472,1.7117502034302566e-56,2010-03-02,0.0016687286110221,0.0592684377594423,0.0012289401175598,0.0026814870621471,0.9351524064502624,1.3602777609752289e-18,0.952252714559925,-0.0008033587401047315
1.1253140460947619e-35,0.0588622660797916,4.7594367778132976e-14,3.573388205586838e-05,0.94110200003793,3.435854447762406e-57,2010-03-03,0.0016121605862716,0.0895762121674761,0.0029361050668582,0.0028192643373009,0.903056257841918,6.181515181749014e-19,0.9285305240034878,-0.023722190556437206
8.455257380159221e-31,0.4755801132854102,1.8015821217712872e-11,3.488835224101685e-05,0.5243849983441597,5.599645631858859e-51,2010-03-04,0.0009193106002448,0.4585081913871034,0.0237110895881373,0.0043863743911266,0.5124750340332141,2.3394752994662684e-16,0.6398769372743036,-0.2886535867291842
1.810763790960701e-21,0.9362223891992169,2.0373938281114882e-07,8.72642610138324e-06,0.0637686806348772,2.2962006490837197e-42,2010-03-05,0.0001526841195981,0.8663269349202185,0.0466749389097405,0.0060991221679233,0.0807463198794518,2.6456826659144384e-12,0.32081820718595905,-0.31905873008834457
2.170610237048021e-14,0.9919876342899134,0.0079765271781274,1.6329280494608134e-05,1.950925138672726e-05,2.835899391504683e-31,2010-03-08,0.0003834102175279,0.9157263408364836,0.0567294188249226,0.006332207699142,0.0208285188416977,1.0358016959014112e-07,0.278508301365935,-0.04230990582002403
4.117305616825784e-06,0.0072807086658743,0.992710498314002,4.637811984188903e-06,3.7902129878103726e-08,6.518878361330559e-16,2010-03-09,0.0419268975961126,0.0474729030359145,0.9056677729847736,0.0047662703501223,0.0001531266077817,1.3029424902980817e-05,0.506791908523937,0.22828360715800194
0.0007357540866934,5.434295446571577e-05,0.9992097104851682,1.914071343830496e-07,1.0635794825029796e-09,2.806904304889152e-12,2010-03-10,0.0428745657000645,0.0410709908738101,0.9112611115780422,0.0047544576802986,1.1560433673558706e-06,3.7718124264981e-05,0.5088023138441042,0.0020104053201672745
0.0141199596699232,1.041742716829039e-05,0.985869021799088,6.007242213302899e-07,1.1717847617003202e-10,2.6283776546502415e-10,2010-03-11,0.0546351504932991,0.0404828055261512,0.8995836639395456,0.0048104698581306,2.6600434223482824e-07,0.0004876441789481,0.514913682983163,0.006111369139058742
0.2448329601557899,1.7576288495462247e-06,0.7551633370536804,1.9090911784754587e-06,4.321553552763164e-11,3.6027574907281004e-08,2010-03-12,0.2573291379340998,0.0310036790918681,0.6976509034205121,0.0057727344523696,1.8745079111376255e-07,0.0082433576506478,0.6200882151060999,0.10517453212293693
0.6612269143310001,5.147509931250317e-07,0.3387702705422328,1.1884250488603673e-06,7.60189698574128e-12,1.111943071974328e-06,2010-03-15,0.623153417214449,0.0139081844460717,0.33318926550476,0.0075070814509699,1.0451758851871097e-07,0.0222419468661095,0.8099066607455175,0.18981844563941763
0.8002114211190888,1.075016656674154e-06,0.1997640108929382,2.3483956088085288e-05,5.697709090997708e-11,8.958648068434607e-09,2010-03-16,0.7452584411450184,0.0082035490034191,0.2115197371674493,0.0081033905144971,1.8744186557124072e-06,0.0269130077513571,0.8732558272117714,0.06334916646625388
0.9433603291749896,2.443299917903467e-08,0.0566359683198189,3.567587290046636e-06,1.28382188437316e-10,1.1035627912695189e-07,2010-03-17,0.8710226222162168,0.0023253560882534,0.0862420887174953,0.0086844327227579,2.8195558903066884e-07,0.0317252182994462,0.9385192012772015,0.06526337406543004
0.9974717863891644,1.1976924101700674e-10,0.0025086239674717,1.636550230560944e-07,8.946972774819333e-13,1.942586790776649e-05,2010-03-18,0.9185623413337082,0.0001029984209647,0.0388646346193123,0.0089072043541071,1.29082924399853e-08,0.0335628083638459,0.9631925274297823,0.024673326152580888
0.9998792671414034,5.17893175608995e-12,4.623022258640722e-05,1.0344063537218485e-07,1.46471503714164e-14,7.439919053963822e-05,2010-03-19,0.9206771289710736,1.9049111193367784e-06,0.0367073280724987,0.0089170339271791,8.156874492952556e-09,0.0336965959616132,0.9643037243631872,0.00111119693340489
0.9996985855102468,7.452718197386136e-13,0.0002977809138642,7.957719338720358e-07,1.3467101777407317e-13,2.8378031885838783e-06,2010-03-22,0.920518790435548,1.2278766739125102e-05,0.0369301355390571,0.0089170173678475,6.275028293540578e-08,0.0336217151406387,0.9642032770025232,-0.00010044736066405768
0.9999069083919546,1.1150041679900397e-12,7.642312273839669e-05,1.0177467287533921e-07,1.3680806514387082e-13,1.6566709493088277e-05,2010-03-23,0.9207017424030648,3.144311988800058e-06,0.036735876070838,0.0089173105476724,8.025537792522822e-09,0.0336419186410089,0.9643019135227755,9.86365202523265e-05
0.9998968915670482,3.1316905174699866e-13,9.876779380522304e-05,2.168551160758998e-07,3.9395572695463393e-14,4.1237840413338295e-06,2010-03-25,0.92069301167686,4.069425648403892e-06,0.0367558911480447,0.0089173927352432,1.7100029800262706e-08,0.0336296179145372,0.9642942051432273,-7.708379548221345e-06
0.999923106098952,1.2741791962891493e-13,2.9716056845317297e-05,1.0781190830989961e-07,2.3026595456895544e-14,4.707003227676969e-05,2010-03-26,0.9207157993011226,1.2272418696888932e-06,0.0366938756949051,0.0089172968636937,8.501470772885328e-09,0.0336717923970707,0.9643168967583163,2.2691615089054373e-05
0.999920669301895,4.4730435086954833e-13,7.73353634181859e-05,8.310488455962452e-07,9.930148651623457e-14,1.1642853015532863e-06,2010-03-29,0.9207139120020064,3.2311434494904315e-06,0.0367372450431889,0.0089179746451366,6.553198338063564e-08,0.033627571634242,0.9643040865671281,-1.2810191188261655e-05
