State_0,State_1,State_2,State_3,State_4,Date,Forecast_State_0,Forecast_State_1,Forecast_State_2,Forecast_State_3,Forecast_State_4
1.6958224636325712e-19,1.0,1.9889882891446285e-110,0.0,1.428577447604912e-101,2010-01-05,0.215746504052994,0.4609351446102606,0.2644214908347478,2.207186181264772e-22,0.0588968605019974
0.0167635748563433,0.9381954398182796,0.0444455378805322,0.0,0.0005954474448448,2010-01-06,0.21561023467675017,0.46053034982007013,0.26507360912518735,2.2933058406975405e-05,0.05876287331958512
0.0010890861512278,0.8991847582091029,0.0989324314524417,0.0,0.0007937241872274,2010-01-07,0.21484928094329547,0.4573310414063582,0.26806816498983577,2.9031631549170927e-06,0.05974860949735528
0.0097288164570297,0.75735905124208,0.2321504060516963,0.0,0.000761726249194,2010-01-08,0.2139568112911039,0.453301546604462,0.27280576606195045,1.4088252473834572e-05,0.059921787790009624
0.0058683483066313,0.9715638070086408,0.0219412118902872,0.0,0.0006266327944405,2010-01-11,0.21557932344727315,0.4604676942687245,0.2648093978994055,8.810822328640009e-06,0.05913477356226774
6.05484321461619e-08,0.0086283530641119,0.6263444386364745,0.0,0.3650271477509811,2010-01-12,0.1508087524032908,0.35150047825694314,0.20975367118029453,0.0006832475723188858,0.2872538505871521
0.0079315246237715,0.9787221096367094,0.0017779870505084,0.0,0.0115683786890108,2010-01-13,0.21398148525240027,0.4587258660695748,0.26152458658531147,3.19765859891988e-05,0.06573608550672413
0.8935288340559033,0.058889554841674,0.0443547094328909,0.0,0.0032269016695316,2010-01-14,0.23166649981636203,0.5284037005094,0.21416404553559293,0.0011690063935325993,0.02459674774511205
0.0187240405289513,0.9216959296332772,0.0594472420393436,0.0,0.0001327877984277,2010-01-15,0.21560370112905658,0.46026350438978153,0.26565007089692705,2.4618695911195183e-05,0.058458104888323266
0.019896562274629,0.9754211261278636,0.0036330362283048,0.0,0.0010492753692026,2010-01-18,0.21591941380994226,0.4621102163673635,0.2631939936280911,2.7860239126003698e-05,0.058748515955476956
3.818780235800749e-07,5.8679276766777765e-15,0.9965940368977348,0.0,0.003405581224236,2010-01-19,0.2072559128903666,0.4248696687271348,0.3027824233551703,6.3749676687440185e-06,0.06508562005965977
0.0058545648074417,0.9261173659690524,0.0670663388062777,0.0,0.0009617304172279,2010-01-20,0.2151649047790927,0.45879034193618035,0.26650787862972153,9.42010876410132e-06,0.05952745454624091
