,Date,Close,High,Low,Open,Volume
0,2010-01-04,84.57847595214844,84.62325228661169,83.22020543300488,83.8620261315511,118944600
1,2010-01-05,84.80236053466797,84.8396779413871,84.22024543040534,84.52623222275905,111579900
2,2010-01-06,84.86204528808594,85.0710090492381,84.65308152693378,84.72024600994607,116074400
3,2010-01-07,85.22029113769531,85.32477304057522,84.46652395791597,84.70534054933243,131091100
4,2010-01-08,85.50391387939453,85.54123129793861,84.82478127383378,84.99642773392378,126402800
5,2010-01-11,85.623291015625,85.92180746991816,85.257598679594,85.88449576004972,106375700
6,2010-01-12,84.82476806640625,85.23523113728774,84.49639305463084,85.05612008260923,163333500
7,2010-01-13,85.54120635986328,85.780022964942,84.60832810661252,85.04117928880476,161822000
8,2010-01-14,85.7725601196289,85.92928298615783,85.39194419015172,85.44418514566136,115718800
9,2010-01-15,84.80982971191406,85.70539058292641,84.48145473541886,85.62330253263977,212283100
10,2010-01-19,85.86958312988281,85.92182408887219,84.7725172972687,84.79491116012485,139172700
11,2010-01-20,84.99639892578125,85.41432654139966,84.31726655040133,85.28745647149218,216490200
12,2010-01-21,83.36202239990234,85.28002041226532,83.2575404610062,85.01881556502495,344859600
13,2010-01-22,81.50369262695312,83.39183697804759,81.41413428015515,82.9888329582108,345942400
14,2010-01-25,81.9216537475586,82.39929276562772,81.65298998478734,82.25002879315663,186937500
15,2010-01-26,81.57831573486328,82.44402927538762,81.37681658668502,81.6007038964569,211168800
16,2010-01-27,81.96641540527344,82.1529910540915,80.84696151236504,81.473852959352,271863600
17,2010-01-28,81.02605438232422,82.27984268915041,80.53349774062589,82.23506636549665,316104000
18,2010-01-29,80.14543151855469,81.94402342244543,80.01856144978737,81.37683188217724,310677600
19,2010-02-01,81.39176177978516,81.39922640024713,80.22753151654962,80.71262935751012,187865000
20,2010-02-02,82.37689971923828,82.53362262151396,81.25744553683631,81.54104424043473,216327900
21,2010-02-03,81.96641540527344,82.45151323096779,81.72759880253979,82.00372711873489,172730700
22,2010-02-04,79.43645477294922,81.36937587627416,79.42152553160986,81.33206416060034,356715700
23,2010-02-05,79.60064697265625,79.76482878023876,78.04833602411388,79.52601214921975,493585800
24,2010-02-08,79.0260009765625,80.10067880257775,78.96629538759757,79.66035720125936,224166900
25,2010-02-09,80.01856994628906,80.71263162902116,79.30957902221286,79.9513997479151,337820500
26,2010-02-10,79.86183166503906,80.30214740449327,79.19015828009213,79.89168444812961,240511500
27,2010-02-11,80.69771575927734,80.78727414067001,79.2946686138216,79.75737837692637,223591600
28,2010-02-12,80.63053894042969,80.67531527737461,79.48869679763517,79.84691888086931,304622100
29,2010-02-16,81.89925384521484,81.98134759485656,80.46635407774806,81.24250954191862,159317500
30,2010-02-17,82.28733825683594,82.39928480191026,81.89925765975663,82.29479718435984,168845100
31,2010-02-18,82.77241516113281,82.94406155204943,82.12312991946244,82.15298270349933,193708600
32,2010-02-19,82.94404602050781,83.26495627151735,82.36193107538243,82.55597128836932,222684900
33,2010-02-22,82.9590072631836,83.27245301705356,82.71272601635542,83.25006484803964,132346900
34,2010-02-23,81.95150756835938,82.98886799121165,81.73507907594467,82.73512777559066,207497000
35,2010-02-24,82.70528411865234,82.83961886348183,81.98883404417481,82.19779793750088,176350700
36,2010-02-25,82.59330749511719,82.65301306972455,81.30220718379572,81.52609454781783,259634700
37,2010-02-26,82.64556121826172,82.92915989454447,82.17539255672045,82.66794938873923,173589300
38,2010-03-01,83.5038070678711,83.58590081882517,82.96646822302178,82.98885639258422,147709700
39,2010-03-02,83.73514556884766,84.13814963746498,83.58588733328719,83.86202133229445,160992400
40,2010-03-03,83.8097915649414,84.30981298401758,83.60082203589822,83.9515851994953,150785000
41,2010-03-04,84.06352233886719,84.18293348496906,83.60827730856826,83.92172302633043,135770400
42,2010-03-05,85.26506805419922,85.33223255200993,84.40681896565219,84.60832384675771,176118800
43,2010-03-08,85.2800064086914,85.46658208234587,85.13074814730292,85.27254748130838,114631200
44,2010-03-09,85.42179870605469,85.81733819060545,84.98148288554339,85.02625922150393,154556700
45,2010-03-10,85.80239868164062,86.03375063284864,85.38447110685554,85.45910021751915,186088800
46,2010-03-11,86.16061401367188,86.18300786958818,85.33968247231492,85.60088718631454,160791100
47,2010-03-12,86.1681137084961,86.54872970030925,85.92929705936271,86.53380045695451,162074800
48,2010-03-15,86.19048309326172,86.2501886659909,85.52627425470072,86.01883668896131,146816800
49,2010-03-16,86.8770980834961,86.95918614031667,86.19049528764229,86.42931191851042,168673000
50,2010-03-17,87.39204406738281,87.67564273431114,86.88455800922638,87.13830388522342,177468100
51,2010-03-18,87.34725952148438,87.51890593591568,86.99649637829368,87.39950047724656,196509100
52,2010-03-19,86.90512084960938,87.8942967726296,86.56789827660991,86.90512084960938,226641100
53,2010-03-22,87.36974334716797,87.52711733522938,86.35808691087134,86.41054300113012,184477800
54,2010-03-23,87.98423767089844,88.05917412639091,87.21237559919918,87.49714213426971,182941600
55,2010-03-24,87.55708312988281,87.99921791274565,86.61287355066312,87.6545056623073,196072600
