State_0,State_1,State_2,State_3,State_4,Date,Target_Position,Trade_Size
1.952659545490712e-19,1.0,1.8567559755478705e-110,0.0,6.670686582759818e-102,2010-01-05,0.85,0.85
0.0189856224243877,0.9387179804682678,0.0420249786386156,0.0,0.0002714184690591,2010-01-06,0.817004473210039,-0.03299552678996098
0.0011853156643575,0.9019942014067512,0.0964880598970222,0.0,0.0003324230320012,2010-01-07,0.7680133560728966,-0.04899111713714244
0.0114473685283239,0.7691529397122107,0.2190192234901015,0.0,0.0003804682691831,2010-01-08,0.6653795545913762,-0.10263380148152035
0.0039675107816481,0.9695933243492998,0.0246916802106867,0.0,0.0017474846580203,2010-01-11,0.8288208303417611,0.16344127575038492
9.253879387172472e-08,0.011293585930783,0.757579515630589,0.0,0.2311268058995557,2010-01-12,0.1020503629397817,-0.7267704674019795
0.0086282894735745,0.9865774867237408,0.0017350473842522,0.0,0.0030591764180724,2010-01-13,0.8484428237559831,0.7463924608162014
0.9087504362297392,0.0526268372230654,0.0373117199824051,0.0,0.0013110065643913,2010-01-14,0.9540076504951013,0.10556482673911816
0.0218710905214215,0.9230071224318565,0.0550581472850349,0.0,6.363976157424589e-05,2010-01-15,0.8064526004931291,-0.14755505000197222
0.0156297942673816,0.9799660508130272,0.0041909416023197,0.0,0.0002132133174233,2010-01-18,0.848686222785424,0.04223362229229499
4.644239901982173e-07,6.265903071074399e-15,0.9979430315734528,0.0,0.0020565040026671,2010-01-19,0.0008230660250623643,-0.8478631567603617
0.0017777971034294,0.916307034716812,0.0709715286459447,0.0,0.0109436395340388,2010-01-20,0.785016232426335,0.7841931664012727
2.5461387367455304e-47,1.8634089880587825e-277,0.0001315303949933,0.0,0.9998684696054116,2010-01-21,0.39994738784216466,-0.38506884458417034
3.8542327913578153e-22,1.2765871486726428e-10,9.331268152034464e-07,0.0,0.9999990667451846,2010-01-22,0.3999996268065838,5.223896441913789e-05
0.0001638808092936,0.1284800304308094,0.2317141722885408,0.0,0.6396419164711367,2010-01-25,0.36522867326393627,-0.03477095354264753
1.3928112756241358e-76,0.0,2.4358307525945522e-08,0.0,0.9999999756419132,2010-01-27,0.3999999902567653,0.03477131699282904
1.5687954897733222e-10,0.0007567002641768,3.1104566719990314e-08,0.0,0.9992432684744104,2010-01-28,0.400340502771194,0.00034051251442868136
4.345180745493635e-16,4.970174595708268e-07,1.638003758612408e-12,0.0,0.999999502981278,2010-01-29,0.40000022365735227,-0.0003402791138417127
2.101997814451612e-07,0.0260477269362072,2.5795728261650445e-06,0.0,0.973949483290866,2010-02-01,0.411720571411904,0.011720347754551719
1.217718125908206e-25,5.6456687113073095e-36,1.9088330702185164e-05,0.0,0.9999809116691848,2010-02-02,0.39999236466767396,-0.01172820674423003
0.0041512660180658,5.519796162465491e-135,7.81156828619388e-34,0.0,0.9958487339821168,2010-02-03,0.4024907596109126,0.0024983949432386132
1.5684951316954019e-24,4.38670921729468e-109,0.0148704046775049,0.0,0.9851295953229416,2010-02-04,0.39405183812917666,-0.008438921481735917
1.023674671970912e-43,1.1318655104611526e-111,9.647802840056396e-05,0.0,0.9999035219711566,2010-02-05,0.39996140878846265,0.00590957065928599
2.1329540058728567e-13,2.1560315334293764e-06,1.5746092714398967e-14,0.0,0.9999978439678266,2010-02-08,0.4000009702141474,3.956142568473098e-05
0.1242452004438422,0.3967412461850541,0.0006375159577615,0.0,0.4783760374134916,2010-02-09,0.6528256746665347,0.25282470445238736
1.374215359939687e-06,0.0054903517483767,0.7433346565295083,0.0,0.251173617506473,2010-02-10,0.10513762020406933,-0.5476880544624654
0.937911976029947,9.101967965665816e-54,4.4378571455429055e-15,0.0,0.0620880239700825,2010-02-11,0.96274718561798,0.8576095654139106
0.0003764150487603,0.5884000305233407,0.4010641915220735,0.0,0.0101593629054513,2010-02-15,0.5045801861557804,-0.45816699946219963
0.9379018246219962,2.7239704198920797e-13,3.24520934247193e-08,0.0,0.0620981429257831,2010-02-16,0.962741081792541,0.45816089563676066
0.99586772578406,1.099895235906242e-27,1.282742974501265e-09,0.0,0.0041322729328255,2010-02-17,0.9975206349571902,0.0347795531646492
0.002311885141537,0.0324392665643513,0.9645952781255722,0.0,0.0006535701683597,2010-02-18,0.030146689788579487,-0.9673739451686107
1.1989627329030634e-07,1.5867125645335203e-05,0.9806970804997254,0.0,0.0192869324782507,2010-02-19,0.007728379944372105,-0.022418309844207382
0.0029956459651272,0.9882659548252068,0.0068374522879152,0.0,0.0019009469218989,2010-02-22,0.8437820863353126,0.8360537063909405
0.0202715725197136,0.9683170799094644,0.0111724718677239,0.0,0.0002388757030902,2010-02-23,0.8434366407239944,-0.00034544561131821805
0.0051375324814201,0.9251857439682608,0.0694242612737775,0.0,0.0002524622765439,2010-02-24,0.7916463997650593,-0.05179024095893503
0.0057659989733271,0.9228436858635908,0.0645260498836051,0.0,0.0068642652790521,2010-02-25,0.792928838069,0.0012824383039407028
7.461247985073507e-07,3.544405930125867e-14,6.349864440666789e-16,0.0,0.9999992538753814,2010-02-26,0.4000004476749812,-0.39292839039401883
0.7236279156572362,5.239127599257158e-87,1.3447940314890544e-23,0.0,0.2763720843427362,2010-03-02,0.8341767493943306,0.4341763017193494
0.899650121915119,1.5767393395288396e-81,7.13457926099717e-16,0.0,0.1003498780846853,2010-03-03,0.9397900731489931,0.10561332375466248
0.0071055525459461,0.948757251542908,0.0436193620162041,0.0,0.0005178338946953,2010-03-04,0.8137563499152961,-0.126033723233697
0.0182906822541553,0.9565884620064736,0.0249841957304454,0.0,0.0001366600088519,2010-03-05,0.8314455389631986,0.01768918904790251
0.9903544630710251,0.0050253273387693,0.0028830727595505,0.0,0.0017371368304287,2010-03-08,0.9953208460411506,0.16387530707795195
0.0145331383291887,0.7061472278698334,0.279100647438014,0.0,0.0002189863628748,2010-03-09,0.614845876563697,-0.3804749694774535
0.0426390889341403,0.939814425828495,0.0173844105723124,0.0,0.0001620746650159,2010-03-10,0.8415461807543673,0.22670030419067022
0.0374095857668402,0.9515543887193764,0.0108436215099166,0.0,0.0001924040037858,2010-03-11,0.8463077777798244,0.004761597025457087
0.0465326473640154,0.895073995118671,0.0582336451406155,0.0,0.0001597123768668,2010-03-12,0.8074094281656324,-0.03889834961419192
0.0073396519815794,0.9197795731946166,0.0726815222869515,0.0,0.000199252537005,2010-03-15,0.7892319902118055,-0.01817743795382698
0.9940960187664803,2.824665517802663e-49,3.950488220165483e-13,0.0,0.0059039812332441,2010-03-16,0.9964576112597779,0.20722562104797249
0.0708656115546689,0.9180129996975364,0.0004214780020143,0.0,0.0106999107456307,2010-03-17,0.855456625595827,-0.14100098566395092
0.0499298604270662,0.928162556732051,0.021752486882849,0.0,0.0001550959577728,2010-03-18,0.8389300720324185,-0.016526553563408486
0.086358443950522,0.86973628155603,0.0438182183536412,0.0,8.705614003665044e-05,2010-03-19,0.8256691057291622,-0.01326096630325635
5.423238866500795e-09,3.2210856549088822e-24,0.998035977875954,0.0,0.0019640167006907,2010-03-22,0.0007856121035151465,-0.8248834936256471
0.0641211505509147,0.9214696882977292,0.0142331935382882,0.0,0.0001759676132956,2010-03-23,0.8474407726493028,0.8466551605457877
0.9776424297299058,0.0164781314745349,0.0028822384303253,0.0,0.0029972003648719,2010-03-25,0.9928477216292092,0.14540694897990636
0.721402823890751,0.2188081366934697,0.059306986938372,0.0,0.0004820524771149,2010-03-26,0.9075825610710463,-0.08526516055816291
0.0003948859331392,0.997425077811858,0.0005084340611771,0.0,0.0016716021934741,2010-03-29,0.848874842950608,-0.05870771812043829
9.849546106925206e-06,3.868135722716859e-05,0.9960002661769468,0.0,0.0039512029198093,2010-03-30,0.0016232098676737384,-0.8472516330829343
0.0016012700004925,0.9237226282203012,0.0744184574633621,0.0,0.0002576443159533,2010-03-31,0.7868685617141298,0.785245351846456
0.9988290916086504,4.4301430712814333e-16,9.956131312687927e-05,0.0,0.0010713470782599,2010-04-01,0.9992576304399547,0.21238906872582497
0.9979379264779914,3.879661993148953e-74,3.098284910642537e-16,0.0,0.0020620735218109,2010-04-05,0.9987627558867158,-0.0004948745532389331
0.0374183218824809,0.908916427603398,0.0536045606167304,0.0,6.068989762568797e-05,2010-04-06,0.8100215613044195,-0.18874119458229632
0.0118150185200679,0.9590738914304092,0.0289950652569003,0.0,0.000116024792538,2010-04-07,0.827074236152931,0.017052674848511473
3.2239558831647033e-13,4.6253647673274425e-43,0.9972991847639736,0.0,0.0027008152353962,2010-04-08,0.0010803260944808755,-0.8259939100584501
0.9975154303146522,6.103132796250747e-29,1.3345297238695577e-08,0.0,0.0024845563403069,2010-04-09,0.998509252850775,0.9974289267562941
0.0009298764826647,0.9405961070570664,0.0583452197460311,0.0,0.0001287967146068,2010-04-12,0.800488086167014,-0.19802116668376102
0.0012840382905608,0.8929467286161982,0.1037273493837092,0.0,0.0020418837095921,2010-04-13,0.761105511098166,-0.0393825750688479
6.696063487848512e-10,4.986854690514511e-06,0.7132859480021607,0.0,0.2867090644731284,2010-04-15,0.11468786528534464,-0.6464176458128215
0.0047565450889192,0.90437757167739,0.0847498754880878,0.0,0.006116007745335,2010-04-16,0.7759238841128347,0.6612360188274902
1.0648200145166437e-13,4.8132823225435893e-29,0.8429848029453049,0.0,0.1570151970545238,2010-04-19,0.06280607882191601,-0.7131178052909187
0.1864945821761275,0.8000240685475035,0.0110943446006477,0.0,0.0023870046755786,2010-04-20,0.8674698423117368,0.8046637634898208
0.0640343107148702,0.9072526413878296,0.0277786190481048,0.0,0.0009344288493495,2010-04-21,0.8355728274342652,-0.03189701487747165
7.383048327376435e-06,0.758614526354222,1.6853992247512825e-05,0.0,0.2413612366050123,2010-04-22,0.741374225091421,-0.09419860234284416
0.9824850098254728,2.4593954235113283e-10,0.0018523834952193,0.0,0.0156626064336691,2010-04-23,0.988750052607989,0.24737582751656795
0.3737969751135929,0.5777584858897229,0.047939381988408,0.0,0.0005051570079706,2010-04-26,0.8650937509230456,-0.12365630168494335
0.0161588121892401,0.8637653900163949,0.1198813264021992,0.0,0.000194471392027,2010-04-27,0.7504371822599866,-0.11465656866305907
2.6393924831673687e-22,2.3658584013641373e-111,0.966212147675123,0.0,0.0337878523251038,2010-04-28,0.01351514093004152,-0.7369220413299451
0.9972581834926538,2.1118637839559356e-11,0.0004102423035788,0.0,0.0023315741825605,2010-04-29,0.9981908131836289,0.9846756722535874
0.6220068501453316,0.3226861108644521,0.0549327106057677,0.0,0.0003743283841458,2010-04-30,0.8964397757337742,-0.1017510374498547
7.036690512730855e-09,2.019650398384392e-29,0.9893168161688568,0.0,0.0106831767944762,2010-05-03,0.004273277754480992,-0.8921664979792933
7.038119289471638e-17,4.975436455211412e-35,0.6105954106443108,0.0,0.3894045893552746,2010-05-04,0.15576183574210994,0.15148855798762895
1.982093249349116e-07,0.4335082329898582,0.0189031154532039,0.0,0.5475884533480377,2010-05-05,0.5875175775899195,0.43175574184780957
1.407334033324073e-07,0.1117183139347029,0.1274476084291438,0.0,0.7608339369029807,2010-05-06,0.39929428233909314,-0.18822329525082637
1.9940216689745685e-15,2.405334815611685e-12,0.0411301399087688,0.0,0.9588698600890232,2010-05-07,0.38354794403765585,-0.01574633830143729
1.0414359884702236e-06,0.0,1.2738075825670836e-94,0.0,0.9999989585636252,2010-05-10,0.40000062486143856,0.016452680823782706
3.3715010023903093e-09,6.994956221295776e-17,0.805052078267659,0.0,0.194947918360628,2010-05-11,0.07797917071575226,-0.3220214541456863
0.0045862405796318,0.9835085426470016,0.0016211991730471,0.0,0.0102840176003725,2010-05-12,0.844682108869732,0.7667029381539798
0.0077519437020451,0.9750670412599202,0.0035200551205489,0.0,0.0136609599175021,2010-05-13,0.8420233127399781,-0.0026587961297539486
3.626746261749182e-22,3.0241435945131e-59,0.2639783258609254,0.0,0.7360216741394701,2010-05-14,0.29440866965578805,-0.5476146430841901
3.0992581223641623e-16,0.0001430665320317,1.8362406075620372e-06,0.0,0.999855097227042,2010-05-17,0.40006364544304407,0.10565497578725602
6.705665050372315e-06,0.180715619656325,0.0003867687171607,0.0,0.8188909059616548,2010-05-18,0.4811713447575886,0.08110769931454453
5.453993364914505e-66,0.0,6.74730470311765e-07,0.0,0.9999993252697552,2010-05-19,0.39999973010790213,-0.08117161464968647
0.0157034739214168,0.5778315456271881,0.0012203484031448,0.0,0.4052446320481654,2010-05-20,0.6689581405237929,0.26895841041589075
1.107454161536292e-10,0.011674428894728,9.861973700454184e-05,0.0,0.9882269512579128,2010-05-21,0.4052140451744293,-0.26374409534936355
3.5430803136528213e-10,0.001565542933316,1.0085318884341767e-07,0.0,0.998434355859462,2010-05-24,0.4007044541914115,-0.0045095909830178416
1.986360535319144e-62,3.327402623765388e-299,2.143633861517841e-07,0.0,0.9999997856366692,2010-05-25,0.39999991425466774,-0.0007045399367437422
0.0014458181240483,1.8361645937858423e-216,3.815056753620023e-43,0.0,0.9985541818759684,2010-05-26,0.40086749087443574,0.0008675766197679957
