Date,Log_Return,gk_volatility,Range
2010-01-05,0.0026435660319889505,0.004768723904925684,0.007304425337647566
2010-01-06,0.0007035624896162339,0.003323621692417204,0.004924787293136323
2010-01-07,0.004212622979308612,0.006075447394854906,0.010070947554879082
2010-01-08,0.003322586889115744,0.00465631408991724,0.00837914887867474
2010-01-11,0.0013951861794050233,0.005150536034572445,0.007757337780942792
2010-01-12,-0.009369761034918747,0.005918748333409974,0.008710169205278439
2010-01-13,0.008410629166884842,0.009016741389281773,0.013697432011892434
2010-01-14,0.002700937644008177,0.0037404542146467516,0.006264693455070858
2010-01-15,-0.01128769072342558,0.008260964981539538,0.014431532897366607
2010-01-19,0.01241821751306782,0.005422334002987991,0.013384329464661364
2010-01-20,-0.010220779993391932,0.008890538321276436,0.012907134947638
2010-01-21,-0.01941605126776643,0.011765500401396936,0.024261406969674045
2010-01-22,-0.022544511219459478,0.012730798330594238,0.02426519135696702
2010-01-25,0.005115020908963312,0.005933688964448908,0.009109957461797723
2010-01-26,-0.004199860323587202,0.009211461353803652,0.013082063279795235
2010-01-27,0.004746107027929241,0.010694399916031355,0.015933715476868764
2010-01-28,-0.011538833147605452,0.012057110246912748,0.021552881500120132
2010-01-29,-0.010927883705921097,0.013888115299479281,0.024024600481591853
2010-02-01,0.015431182963832578,0.008831199271535068,0.014395742985238092
2010-02-02,0.012030993148582466,0.009013380031335824,0.015491929036261162
2010-02-03,-0.004995459258888651,0.0062293090257390235,0.00883184197879939
2010-02-04,-0.031352204131095664,0.008871075489484468,0.02452086199254214
2010-02-05,0.002064829605686244,0.015371587034068736,0.021563804082076293
2010-02-08,-0.007245296012048049,0.008776488724118093,0.014354559271151946
2010-02-09,0.01248180746336327,0.012388956647307704,0.01753408749681573
2010-02-10,-0.0019606947428585657,0.009857397985799864,0.01392391210190496
2010-02-11,0.010412232215015192,0.010991561614665187,0.018496254978280616
2010-02-12,-0.0008327967454335902,0.008540472083392587,0.014716737545511354
