State,Frequency,Mean_Return,gk_Volatility,Sharpe_Ratio,Sortino_Ratio
0,0,,,,
1,0,,,,
2,2493,0.00025802774580320763,0.00713526812593461,0.03616230550122599,0.036082452229817916
3,0,,,,
4,1435,0.0006724555463766508,0.006890337018329624,0.09759399933381915,0.06908789772771398
